docname,topic,proportion
input_SAR.txt:1061,005,1.0
input_SAR.txt:1096,002,1.0
input_SAR.txt:1131,001,1.0
input_SAR.txt:1166,000,1.0
input_SAR.txt:1201,009,1.0
input_SAR.txt:1236,000,1.0
input_SAR.txt:1271,004,1.0
input_SAR.txt:1306,005,1.0
input_SAR.txt:1341,004,1.0
input_SAR.txt:1376,012,1.0
input_SAR.txt:1411,005,1.0
input_SAR.txt:1446,004,1.0
input_SAR.txt:1481,004,1.0
input_SAR.txt:1516,000,1.0
input_SAR.txt:1551,001,1.0
input_SAR.txt:1586,001,1.0
input_SAR.txt:1621,004,1.0
input_SAR.txt:1656,003,1.0
input_SAR.txt:31,004,1.0
input_SAR.txt:66,004,1.0
input_SAR.txt:101,004,1.0
input_SAR.txt:136,001,1.0
input_SAR.txt:171,000,1.0
input_SAR.txt:206,000,1.0
input_SAR.txt:241,000,1.0
input_SAR.txt:276,004,1.0
input_SAR.txt:311,005,1.0
input_SAR.txt:346,004,1.0
input_SAR.txt:381,004,1.0
input_SAR.txt:416,003,1.0
input_SAR.txt:451,010,1.0
input_SAR.txt:486,001,1.0
input_SAR.txt:521,001,1.0
input_SAR.txt:556,012,1.0
input_SAR.txt:591,004,1.0
input_SAR.txt:626,007,1.0
input_SAR.txt:661,004,1.0
input_SAR.txt:696,001,1.0
input_SAR.txt:731,013,1.0
input_SAR.txt:766,001,1.0
input_SAR.txt:801,004,1.0
input_SAR.txt:836,001,1.0
input_SAR.txt:866,004,1.0
input_SAR.txt:901,004,1.0
input_SAR.txt:936,010,1.0
input_SAR.txt:971,004,1.0
input_SAR.txt:1006,003,1.0
input_SAR.txt:1041,000,1.0
input_SAR.txt:1076,007,1.0
input_SAR.txt:1111,007,1.0
input_SAR.txt:1146,004,1.0
input_SAR.txt:1181,004,1.0
input_SAR.txt:1216,001,1.0
input_SAR.txt:1251,000,1.0
input_SAR.txt:1286,003,1.0
input_SAR.txt:1321,000,1.0
input_SAR.txt:1356,010,1.0
input_SAR.txt:1391,007,1.0
input_SAR.txt:1426,001,1.0
input_SAR.txt:1461,007,1.0
input_SAR.txt:1496,007,1.0
input_SAR.txt:1531,000,1.0
input_SAR.txt:1566,004,1.0
input_SAR.txt:1601,004,1.0
input_SAR.txt:1636,004,1.0
input_SAR.txt:1671,004,1.0
input_SAR.txt:13,008,1.0
input_SAR.txt:48,008,1.0
input_SAR.txt:83,009,1.0
input_SAR.txt:118,008,1.0
input_SAR.txt:153,004,1.0
input_SAR.txt:188,004,1.0
input_SAR.txt:223,002,1.0
input_SAR.txt:258,001,1.0
input_SAR.txt:293,010,1.0
input_SAR.txt:328,001,1.0
input_SAR.txt:363,009,1.0
input_SAR.txt:398,012,1.0
input_SAR.txt:433,005,1.0
input_SAR.txt:468,002,1.0
input_SAR.txt:503,001,1.0
input_SAR.txt:538,002,1.0
input_SAR.txt:573,001,1.0
input_SAR.txt:608,004,1.0
input_SAR.txt:643,002,1.0
input_SAR.txt:678,016,1.0
input_SAR.txt:713,004,1.0
input_SAR.txt:748,004,1.0
input_SAR.txt:783,001,1.0
input_SAR.txt:818,004,1.0
input_SAR.txt:853,001,1.0
input_SAR.txt:883,000,1.0
input_SAR.txt:918,001,1.0
input_SAR.txt:953,010,1.0
input_SAR.txt:988,004,1.0
input_SAR.txt:1023,001,1.0
input_SAR.txt:1058,006,1.0
input_SAR.txt:1093,010,1.0
input_SAR.txt:1128,007,1.0
input_SAR.txt:1163,007,1.0
input_SAR.txt:1198,000,1.0
input_SAR.txt:1233,004,1.0
