docname,topic,proportion
input_SAR.txt:254,008,1.0
input_SAR.txt:289,002,1.0
input_SAR.txt:324,000,1.0
input_SAR.txt:359,000,1.0
input_SAR.txt:394,003,1.0
input_SAR.txt:429,000,1.0
input_SAR.txt:464,003,1.0
input_SAR.txt:499,001,1.0
input_SAR.txt:534,000,1.0
input_SAR.txt:569,008,1.0
input_SAR.txt:604,001,1.0
input_SAR.txt:639,000,1.0
input_SAR.txt:674,000,1.0
input_SAR.txt:709,000,1.0
input_SAR.txt:744,011,1.0
input_SAR.txt:779,000,1.0
input_SAR.txt:814,000,1.0
input_SAR.txt:849,000,1.0
input_SAR.txt:879,003,1.0
input_SAR.txt:914,001,1.0
input_SAR.txt:949,000,1.0
input_SAR.txt:984,004,1.0
input_SAR.txt:1019,007,1.0
input_SAR.txt:1054,005,1.0
input_SAR.txt:1089,000,1.0
input_SAR.txt:1124,001,1.0
input_SAR.txt:1159,005,1.0
input_SAR.txt:1194,000,1.0
input_SAR.txt:1229,003,1.0
input_SAR.txt:1264,011,1.0
input_SAR.txt:1299,000,1.0
input_SAR.txt:1334,000,1.0
input_SAR.txt:1369,000,1.0
input_SAR.txt:1404,005,1.0
input_SAR.txt:1439,000,1.0
input_SAR.txt:1474,005,1.0
input_SAR.txt:1509,010,1.0
input_SAR.txt:1544,003,1.0
input_SAR.txt:1579,001,1.0
input_SAR.txt:1614,000,1.0
input_SAR.txt:1649,001,1.0
input_SAR.txt:10,002,1.0
input_SAR.txt:45,004,1.0
input_SAR.txt:80,007,1.0
input_SAR.txt:115,002,1.0
input_SAR.txt:150,000,1.0
input_SAR.txt:185,000,1.0
input_SAR.txt:220,011,1.0
input_SAR.txt:255,001,1.0
input_SAR.txt:290,000,1.0
input_SAR.txt:325,000,1.0
input_SAR.txt:360,000,1.0
input_SAR.txt:395,001,1.0
input_SAR.txt:430,001,1.0
input_SAR.txt:465,008,1.0
input_SAR.txt:500,000,1.0
input_SAR.txt:535,000,1.0
input_SAR.txt:570,001,1.0
input_SAR.txt:605,000,1.0
input_SAR.txt:640,001,1.0
input_SAR.txt:675,006,1.0
input_SAR.txt:710,000,1.0
input_SAR.txt:745,000,1.0
input_SAR.txt:780,004,1.0
input_SAR.txt:815,000,0.784423
input_SAR.txt:815,001,0.215577
input_SAR.txt:850,001,1.0
input_SAR.txt:880,005,1.0
input_SAR.txt:915,002,1.0
input_SAR.txt:950,003,1.0
input_SAR.txt:985,004,1.0
input_SAR.txt:1020,009,1.0
input_SAR.txt:1055,000,1.0
