docname,topic,proportion
input.txt:838,011,1.0
input.txt:873,000,1.0
input.txt:908,000,1.0
input.txt:10,005,1.0
input.txt:45,003,1.0
input.txt:80,003,1.0
input.txt:115,005,1.0
input.txt:150,001,1.0
input.txt:185,004,1.0
input.txt:220,006,1.0
input.txt:255,000,1.0
input.txt:290,000,1.0
input.txt:325,008,1.0
input.txt:360,003,1.0
input.txt:395,008,1.0
input.txt:430,007,1.0
input.txt:465,003,1.0
input.txt:496,000,1.0
input.txt:531,002,1.0
input.txt:566,001,1.0
input.txt:601,001,1.0
input.txt:636,001,1.0
input.txt:671,001,1.0
input.txt:706,011,1.0
input.txt:741,005,1.0
input.txt:776,014,1.0
input.txt:811,006,1.0
input.txt:846,000,1.0
input.txt:881,001,1.0
input.txt:30,000,1.0
input.txt:65,003,1.0
input.txt:100,005,1.0
input.txt:135,002,1.0
input.txt:170,002,1.0
input.txt:205,004,1.0
input.txt:240,000,1.0
input.txt:275,000,1.0
input.txt:310,008,1.0
input.txt:345,003,1.0
input.txt:380,003,1.0
input.txt:415,003,1.0
input.txt:450,007,1.0
input.txt:481,006,1.0
input.txt:516,000,1.0
input.txt:551,001,1.0
input.txt:586,001,1.0
input.txt:621,001,1.0
input.txt:656,006,1.0
input.txt:691,007,1.0
input.txt:726,011,1.0
input.txt:761,005,1.0
input.txt:796,006,1.0
input.txt:831,006,1.0
input.txt:866,005,1.0
input.txt:901,001,1.0
input.txt:15,006,1.0
input.txt:50,006,1.0
input.txt:85,005,1.0
input.txt:120,003,1.0
input.txt:155,002,1.0
input.txt:190,009,1.0
input.txt:225,000,1.0
input.txt:260,000,1.0
input.txt:295,006,1.0
input.txt:330,008,1.0
input.txt:365,003,1.0
input.txt:400,010,1.0
input.txt:435,000,1.0
input.txt:470,006,1.0
input.txt:501,000,1.0
input.txt:536,002,1.0
input.txt:571,001,1.0
input.txt:606,001,1.0
input.txt:641,001,1.0
input.txt:676,004,1.0
input.txt:711,003,1.0
input.txt:746,005,1.0
input.txt:781,014,1.0
input.txt:816,011,1.0
input.txt:851,011,1.0
input.txt:886,007,1.0
input.txt:18,005,1.0
input.txt:53,003,1.0
input.txt:88,000,1.0
input.txt:123,004,1.0
input.txt:158,002,1.0
input.txt:193,009,1.0
input.txt:228,000,1.0
input.txt:263,000,1.0
input.txt:298,006,1.0
input.txt:333,008,1.0
input.txt:368,003,1.0
input.txt:403,010,1.0
input.txt:438,000,1.0
input.txt:504,000,1.0
input.txt:539,002,1.0
input.txt:574,001,1.0
input.txt:609,001,1.0
input.txt:644,001,1.0
input.txt:679,011,1.0
input.txt:714,003,1.0
input.txt:749,004,1.0
input.txt:784,011,1.0
input.txt:819,004,1.0
input.txt:854,007,1.0
input.txt:889,000,1.0
input.txt:4,007,1.0
input.txt:39,003,1.0
input.txt:74,006,1.0
input.txt:109,004,1.0
input.txt:144,002,1.0
input.txt:179,002,1.0
input.txt:214,000,1.0
input.txt:249,002,1.0
input.txt:284,000,1.0
input.txt:319,008,1.0
input.txt:354,003,1.0
input.txt:389,010,1.0
input.txt:424,003,1.0
input.txt:459,002,1.0
input.txt:490,009,1.0
input.txt:525,002,1.0
input.txt:560,003,1.0
input.txt:595,007,1.0
input.txt:630,004,1.0
input.txt:665,001,1.0
input.txt:700,006,1.0
input.txt:735,011,1.0
input.txt:770,005,1.0
input.txt:805,009,1.0
input.txt:840,000,1.0
input.txt:875,000,1.0
input.txt:910,004,1.0
input.txt:0,000,1.0
input.txt:35,003,1.0
input.txt:70,003,1.0
input.txt:105,004,1.0
input.txt:140,002,1.0
input.txt:175,007,1.0
input.txt:210,000,1.0
input.txt:245,000,1.0
input.txt:280,006,1.0
input.txt:315,008,1.0
input.txt:350,000,0.511375
input.txt:350,001,0.488625
input.txt:385,010,1.0
input.txt:420,003,1.0
input.txt:455,003,1.0
input.txt:486,005,1.0
input.txt:521,002,1.0
input.txt:556,005,1.0
input.txt:591,001,1.0
input.txt:626,001,1.0
input.txt:661,006,1.0
input.txt:696,009,1.0
input.txt:731,011,1.0
input.txt:766,009,1.0
input.txt:801,007,1.0
input.txt:836,000,1.0
input.txt:871,005,1.0
input.txt:906,004,1.0
